City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Port Alfred,ZA,79.41,clear sky,-33.5906,26.891,The Halyards Hotel
2,Cape Town,ZA,87.12,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
3,Ambilobe,MG,80.78,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
5,Labuan,MY,80.96,few clouds,5.2767,115.2417,Tiara Labuan Hotel
13,Atuona,PF,78.31,few clouds,-9.8,-139.0333,Villa Enata
17,Hithadhoo,MV,82.89,scattered clouds,-0.6,73.0833,Scoop Guest House
23,Alyangula,AU,80.91,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
26,Kavaratti,IN,78.69,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
28,Bengkulu,ID,78.21,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
34,Bambous Virieux,MU,82.65,light rain,-20.3428,57.7575,Casa Tia Villa
36,Cabedelo,BR,88.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
38,Puerto Madero,MX,75.4,clear sky,14.7208,-92.4215,Hospedaje madero
39,Bredasdorp,ZA,81.72,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
46,Bitung,ID,77.85,overcast clouds,1.4451,125.1824,K2 Lembeh
47,Belmonte,BR,86.0,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
49,Mahebourg,MU,82.69,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
51,Kieta,PG,81.05,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
53,Kalemie,CD,78.22,light rain,-5.9475,29.1947,Mahobilali
54,Hermanus,ZA,86.9,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
56,Tiznit,MA,75.79,clear sky,29.5833,-9.5,
58,Moerai,PF,79.32,light rain,-22.4333,-151.3333,Le Manotel
61,Taoudenni,ML,81.57,overcast clouds,22.6783,-3.9836,
65,Rikitea,PF,78.66,overcast clouds,-23.1203,-134.9692,People ThankYou
66,Portobelo,PA,85.06,few clouds,9.55,-79.65,Scuba Portobelo
68,Tiarei,PF,78.82,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
73,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
74,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
75,Arraial Do Cabo,BR,89.46,clear sky,-22.9661,-42.0278,Pousada Porto Praia
77,Kavieng,PG,81.99,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
80,Sokolo,ML,88.32,clear sky,14.7328,-6.1219,
81,Banda Aceh,ID,79.5,moderate rain,5.5577,95.3222,Sulthan Hotel International
84,Roebourne,AU,84.63,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
85,East London,ZA,77.94,few clouds,-33.0153,27.9116,Tu Casa
86,Inirida,CO,80.26,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
92,Odweyne,SO,80.35,broken clouds,9.4092,45.064,Eng Hiirey House
105,Butaritari,KI,81.03,light rain,3.0707,172.7902,Isles Sunset Lodge
108,Cockburn Town,TC,78.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
109,Poum,NC,79.07,moderate rain,-20.2333,164.0167,
110,Vila Do Maio,CV,81.39,clear sky,15.1333,-23.2167,Hotel Marilu
118,Pitimbu,BR,88.39,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
119,Port Hedland,AU,86.05,broken clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
124,Sao Joao Da Barra,BR,87.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
126,Faanui,PF,80.96,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
127,Kalmunai,LK,77.14,overcast clouds,7.4167,81.8167,VS Villa
130,Tevaitoa,PF,81.3,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
135,Kruisfontein,ZA,88.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
139,Carnarvon,AU,76.06,clear sky,-24.8667,113.6333,Hospitality Carnarvon
140,Aquidauana,BR,84.83,overcast clouds,-20.4711,-55.7872,HOTEL ARARAS
142,Mucurapo,TT,86.05,scattered clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
149,La Macarena,CO,81.7,overcast clouds,2.1837,-73.7849,Hotel Punto Verde
152,Satun,TH,83.91,broken clouds,6.8333,100.0,บ้านไทโฮมสเตย์&รีสอร์ท จ.สตูล
160,Caravelas,BR,86.5,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
167,Azare,NG,87.28,clear sky,11.6765,10.1948,Mallam Ayuba Compound
171,Boa Vista,BR,80.58,moderate rain,2.8197,-60.6733,Aipana Plaza Hotel
173,Salalah,OM,78.89,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
174,Pundaguitan,PH,81.0,few clouds,6.3711,126.1689,Leonardo Family Beach House 1
176,Presidente Dutra,BR,83.37,overcast clouds,-5.29,-44.49,Pousada Planalto
180,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
181,Inhambane,MZ,82.38,broken clouds,-23.865,35.3833,Oceano
182,Saldanha,ZA,84.25,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
192,Georgetown,MY,83.95,thunderstorm with heavy rain,5.4112,100.3354,Cititel Penang
