City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.8794,147.3294,53.26,77,51,0.0,broken clouds
1,Port Alfred,ZA,-33.5906,26.891,79.41,73,0,31.81,clear sky
2,Cape Town,ZA,-33.9258,18.4232,87.12,50,0,21.85,clear sky
3,Ambilobe,MG,-13.2,49.05,80.78,82,15,8.75,light rain
4,Busselton,AU,-33.65,115.3333,56.08,77,65,15.21,broken clouds
5,Labuan,MY,5.2767,115.2417,80.96,83,20,2.3,few clouds
6,Clyde River,CA,70.4692,-68.5914,-36.17,67,0,4.61,clear sky
7,Upernavik,GL,72.7868,-56.1549,-5.89,94,100,4.25,overcast clouds
8,Lujan,AR,-34.5703,-59.105,65.95,55,2,8.01,clear sky
9,Lompoc,US,34.6391,-120.4579,54.12,75,0,5.75,clear sky
10,Mataura,NZ,-46.1927,168.8643,42.48,98,0,1.92,clear sky
11,Broome,US,42.2506,-75.833,14.16,77,0,1.99,clear sky
12,Kahului,US,20.8947,-156.47,73.85,80,20,10.36,few clouds
13,Atuona,PF,-9.8,-139.0333,78.31,75,15,20.51,few clouds
14,Alice Springs,AU,-23.7,133.8833,65.75,77,0,1.14,clear sky
15,Albany,US,42.6001,-73.9662,13.8,67,18,1.01,few clouds
16,Liverpool,GB,53.4106,-2.9779,48.15,80,75,11.01,broken clouds
17,Hithadhoo,MV,-0.6,73.0833,82.89,70,31,10.92,scattered clouds
18,Sala,MA,34.0389,-6.8166,68.63,63,4,9.22,clear sky
19,Tasiilaq,GL,65.6145,-37.6368,21.36,61,100,16.02,overcast clouds
20,Nelson Bay,AU,-32.7167,152.15,71.01,73,93,4.0,light rain
21,Hella,NO,67.2,14.4333,32.14,64,75,18.41,broken clouds
22,Srednekolymsk,RU,67.45,153.6833,-36.67,100,50,0.98,scattered clouds
23,Alyangula,AU,-13.8483,136.4192,80.91,74,100,10.42,overcast clouds
24,San Juan,AR,-31.5375,-68.5364,69.85,44,0,6.71,clear sky
25,Ushuaia,AR,-54.8,-68.3,53.26,58,0,3.44,clear sky
26,Kavaratti,IN,10.5669,72.642,78.69,66,57,8.5,broken clouds
27,Pevek,RU,69.7008,170.3133,-24.86,100,30,1.95,scattered clouds
28,Bengkulu,ID,-3.8004,102.2655,78.21,81,99,8.03,overcast clouds
29,Tuatapere,NZ,-46.1333,167.6833,42.82,91,1,3.53,clear sky
30,Manzhouli,CN,49.6,117.4333,-4.0,99,25,6.17,scattered clouds
31,Palizada,MX,18.25,-92.0833,64.38,99,100,3.87,overcast clouds
32,Avarua,CK,-21.2078,-159.775,71.65,100,99,4.61,light rain
33,Jamestown,US,42.097,-79.2353,20.52,62,0,4.0,clear sky
34,Bambous Virieux,MU,-20.3428,57.7575,82.65,78,75,11.5,light rain
35,Bluff,NZ,-46.6,168.3333,42.8,75,0,7.18,clear sky
36,Cabedelo,BR,-6.9811,-34.8339,88.47,56,83,8.23,broken clouds
37,Cabo San Lucas,MX,22.8909,-109.9124,59.31,82,75,9.22,broken clouds
38,Puerto Madero,MX,14.7208,-92.4215,75.4,69,0,0.0,clear sky
39,Bredasdorp,ZA,-34.5322,20.0403,81.72,47,52,9.22,broken clouds
40,Saint Anthony,US,45.0205,-93.218,22.6,89,100,0.0,mist
41,Khatanga,RU,71.9667,102.5,-22.56,98,91,7.74,overcast clouds
42,Iqaluit,CA,63.7506,-68.5145,-36.31,65,20,4.0,few clouds
43,Shingu,JP,33.7333,135.9833,39.9,62,4,7.61,clear sky
44,Alofi,NU,-19.0595,-169.9187,73.29,94,100,3.44,overcast clouds
45,Barrow,US,71.2906,-156.7887,-20.18,76,75,4.61,broken clouds
