City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2022-02-02 17:22:44,-9.8,-139.0333,78.1,78,64,17.36
1,Rikitea,PF,2022-02-02 17:21:42,-23.1203,-134.9692,77.29,75,57,6.35
2,Mouila,GA,2022-02-02 17:22:45,-1.8685,11.0559,78.26,85,75,4.07
3,Chokurdakh,RU,2022-02-02 17:20:44,70.6333,147.9167,-17.09,99,71,7.47
4,Avarua,CK,2022-02-02 17:22:45,-21.2078,-159.775,78.85,89,75,14.97
5,Port Alfred,ZA,2022-02-02 17:19:16,-33.5906,26.891,79.32,79,95,8.59
6,Marion,US,2022-02-02 17:18:40,39.7684,-86.1555,44.92,96,100,6.91
7,Ushuaia,AR,2022-02-02 17:19:55,-54.8,-68.3,47.82,65,75,20.71
8,Kendari,ID,2022-02-02 17:22:45,-3.945,122.4989,75.87,91,99,1.88
9,Saint George,US,2022-02-02 17:21:01,37.1041,-113.5841,39.67,28,75,4.0
10,Naze,JP,2022-02-02 17:22:46,28.3667,129.4833,55.92,89,100,18.66
11,Kapaa,US,2022-02-02 17:22:46,22.0752,-159.319,67.12,83,100,1.01
12,Puerto Ayora,EC,2022-02-02 17:20:30,-0.7393,-90.3518,82.36,73,49,8.63
13,Mataura,NZ,2022-02-02 17:22:46,-46.1927,168.8643,56.48,98,100,5.79
14,Havelock,US,2022-02-02 17:22:46,34.8791,-76.9013,58.98,73,16,3.0
15,Bluff,NZ,2022-02-02 17:22:47,-46.6,168.3333,56.8,83,100,17.78
16,Ampanihy,MG,2022-02-02 17:22:47,-24.7,44.75,75.33,67,0,16.69
17,Butaritari,KI,2022-02-02 17:22:48,3.0707,172.7902,80.85,82,93,17.74
18,Toccoa,US,2022-02-02 17:22:48,34.5773,-83.3324,49.33,63,100,0.0
19,Albany,US,2022-02-02 17:20:05,42.6001,-73.9662,42.48,73,98,5.01
20,Okato,NZ,2022-02-02 17:22:48,-39.2,173.8833,69.91,88,100,17.72
21,Cape Town,ZA,2022-02-02 17:22:48,-33.9258,18.4232,70.09,89,75,1.01
22,Bredasdorp,ZA,2022-02-02 17:19:49,-34.5322,20.0403,74.52,64,24,14.97
23,Punta Arenas,CL,2022-02-02 17:22:49,-53.15,-70.9167,53.71,66,75,10.36
24,Pisco,PE,2022-02-02 17:22:49,-13.7,-76.2167,75.25,64,0,9.22
25,Tabora,TZ,2022-02-02 17:22:49,-5.0167,32.8,66.6,91,94,1.25
26,Qaanaaq,GL,2022-02-02 17:22:15,77.484,-69.3632,-23.4,65,30,8.61
27,San Policarpo,PH,2022-02-02 17:22:49,12.1791,125.5072,79.25,82,100,14.97
28,Qaqortoq,GL,2022-02-02 17:22:50,60.7167,-46.0333,7.3,66,2,4.03
29,Hobart,AU,2022-02-02 17:19:22,-42.8794,147.3294,53.46,75,100,8.05
30,Launceston,AU,2022-02-02 17:22:50,-41.45,147.1667,52.81,76,40,5.75
31,Tres Arroyos,AR,2022-02-02 17:22:50,-38.3739,-60.2798,94.64,24,94,11.3
32,Heilbron,ZA,2022-02-02 17:22:50,-27.2812,27.9709,77.23,38,3,7.07
33,Constitucion,CL,2022-02-02 17:22:51,-35.3333,-72.4167,67.51,64,3,8.23
34,Askiz,RU,2022-02-02 17:22:51,53.1319,90.5264,-5.3,99,62,3.29
35,Hermanus,ZA,2022-02-02 17:21:48,-34.4187,19.2345,68.81,77,14,20.22
36,New Norfolk,AU,2022-02-02 17:22:51,-42.7826,147.0587,53.1,65,59,3.0
37,Arraial Do Cabo,BR,2022-02-02 17:22:51,-22.9661,-42.0278,85.96,74,20,14.97
38,Port Lincoln,AU,2022-02-02 17:22:52,-34.7333,135.8667,62.11,73,83,10.33
39,Tomatlan,MX,2022-02-02 17:22:52,19.9333,-105.25,80.82,27,0,2.68
40,East London,ZA,2022-02-02 17:22:52,-33.0153,27.9116,83.34,78,20,3.44
41,Vaini,TO,2022-02-02 17:22:52,-21.2,-175.2,73.56,100,40,1.14
42,Zabol,AF,2022-02-02 17:23:53,32.25,67.25,35.53,75,1,2.86
43,Poya,NC,2022-02-02 17:23:53,-21.35,165.15,74.73,86,68,2.55
44,Sao Filipe,CV,2022-02-02 17:23:33,14.8961,-24.4956,74.52,72,0,15.75
45,Luderitz,NA,2022-02-02 17:23:53,-26.6481,15.1594,68.07,79,13,6.02
46,Ribeira Grande,PT,2022-02-02 17:20:13,38.5167,-28.7,63.0,67,40,12.66
47,Saint-Philippe,RE,2022-02-02 17:23:53,-21.3585,55.7679,80.19,93,100,31.14
48,Barrow,US,2022-02-02 17:22:47,71.2906,-156.7887,-20.18,69,0,6.91
49,Dunedin,NZ,2022-02-02 17:23:54,-45.8742,170.5036,61.41,99,100,3.71
50,Dikson,RU,2022-02-02 17:23:54,73.5069,80.5464,-7.28,99,98,11.74
51,Skjervoy,NO,2022-02-02 17:23:54,70.0311,20.9714,26.78,69,53,18.68
52,Ilulissat,GL,2022-02-02 17:23:54,69.2167,-51.1,3.22,85,75,21.85
53,Alofi,NU,2022-02-02 17:23:55,-19.0595,-169.9187,73.29,88,88,12.66
54,Watsa,CD,2022-02-02 17:23:55,3.0372,29.5355,75.72,30,100,3.04
55,Sembakung,ID,2022-02-02 17:23:55,3.8167,117.25,72.55,98,98,1.34
56,Itoman,JP,2022-02-02 17:23:55,26.1247,127.6694,69.82,92,75,10.36
57,Vaitape,PF,2022-02-02 17:23:56,-16.5167,-151.75,80.56,76,19,19.69
58,Bambous Virieux,MU,2022-02-02 17:23:56,-20.3428,57.7575,81.21,94,75,34.52
59,Hofn,IS,2022-02-02 17:23:56,64.2539,-15.2082,26.62,80,40,5.75
60,Maceio,BR,2022-02-02 17:23:56,-9.6658,-35.7353,90.84,51,40,16.11
61,Provideniya,RU,2022-02-02 17:19:19,64.3833,-173.3,5.27,65,0,23.24
62,Mongu,ZM,2022-02-02 17:23:57,-15.2484,23.1274,75.36,69,99,3.53
63,Carnarvon,AU,2022-02-02 17:21:14,-24.8667,113.6333,80.67,74,85,5.75
64,College,US,2022-02-02 17:22:01,64.8569,-147.8028,-15.14,98,0,0.0
65,Bay City,US,2022-02-02 17:23:57,43.5945,-83.8889,28.89,92,100,5.01
66,Ostrovnoy,RU,2022-02-02 17:23:57,68.0531,39.5131,20.64,86,100,15.26
67,Straumen,NO,2022-02-02 17:23:58,63.8709,11.2999,23.0,89,100,4.9
68,Busselton,AU,2022-02-02 17:23:58,-33.65,115.3333,68.04,52,99,20.89
69,Jamestown,US,2022-02-02 17:22:30,42.097,-79.2353,42.39,48,20,12.66
70,Kungsbacka,SE,2022-02-02 17:23:58,57.4872,12.0761,29.17,87,40,3.53
71,Pangai,TO,2022-02-02 17:19:45,-19.8,-174.35,80.8,70,12,8.08
72,Dossor,KZ,2022-02-02 17:23:58,47.5272,52.9811,31.05,93,60,10.07
73,Airai,TL,2022-02-02 17:23:59,-8.9266,125.4092,60.49,88,72,2.15
74,Cidreira,BR,2022-02-02 17:23:59,-30.1811,-50.2056,79.52,72,2,14.09
75,Sorland,NO,2022-02-02 17:23:59,67.667,12.6934,28.26,56,100,15.41
76,Ambon,ID,2022-02-02 17:23:59,-3.6954,128.1814,78.94,89,20,2.3
77,Lavrentiya,RU,2022-02-02 17:20:18,65.5833,-171.0,-1.98,77,1,17.36
78,Okhotsk,RU,2022-02-02 17:24:00,59.3833,143.3,4.77,74,100,18.21
79,Palimbang,PH,2022-02-02 17:23:18,6.2106,124.1894,77.38,80,100,4.36
80,Hithadhoo,MV,2022-02-02 17:19:44,-0.6,73.0833,82.54,70,51,9.13
81,Trelew,AR,2022-02-02 17:19:22,-43.249,-65.3051,83.03,21,100,17.0
82,Chuy,UY,2022-02-02 17:24:00,-33.6971,-53.4616,84.2,47,1,10.78
83,Souillac,MU,2022-02-02 17:24:00,-20.5167,57.5167,81.36,94,75,34.52
84,Atyrau,KZ,2022-02-02 17:24:01,47.1167,51.8833,30.22,100,100,11.18
85,Petushki,RU,2022-02-02 17:25:01,55.9264,39.461,14.95,98,98,4.63
86,Swan Hill,AU,2022-02-02 17:25:01,-35.3378,143.5544,56.75,55,0,13.67
87,Maningrida,AU,2022-02-02 17:25:01,-12.0667,134.2667,78.12,87,99,7.65
88,Oparino,RU,2022-02-02 17:25:02,59.8518,48.2783,21.96,94,100,9.04
89,Adrar,MR,2022-02-02 17:25:02,20.5022,-10.0711,82.96,13,91,17.6
90,Nizhniy Kuranakh,RU,2022-02-02 17:25:02,58.8353,125.4869,-8.34,97,100,5.5
91,Zhanaozen,KZ,2022-02-02 17:25:02,43.3,52.8,40.42,80,21,8.93
92,Coruripe,BR,2022-02-02 17:25:03,-10.1256,-36.1756,86.95,55,10,14.72
93,Turka,UA,2022-02-02 17:25:03,49.1541,23.0297,30.79,94,100,6.02
94,Hasaki,JP,2022-02-02 17:22:59,35.7333,140.8333,27.0,37,2,2.91
95,Kristiansund,NO,2022-02-02 17:25:03,63.1115,7.732,32.65,86,75,21.85
96,Longyearbyen,SJ,2022-02-02 17:20:28,78.2186,15.6401,19.24,68,20,13.8
97,Yellowknife,CA,2022-02-02 17:25:03,62.456,-114.3525,-35.72,78,40,6.91
98,Larap,PH,2022-02-02 17:25:04,14.299,122.6504,75.42,89,99,11.41
99,Castro,BR,2022-02-02 17:25:04,-24.7911,-50.0119,77.76,63,75,4.56
100,Xuddur,SO,2022-02-02 17:25:04,4.1213,43.8894,85.64,31,75,15.39
101,Victoria,HK,2022-02-02 17:23:17,22.2855,114.1577,60.94,94,100,4.0
102,Tasiilaq,GL,2022-02-02 17:25:04,65.6145,-37.6368,15.96,77,100,9.19
103,Meulaboh,ID,2022-02-02 17:25:05,4.1363,96.1285,78.51,79,99,3.22
104,Thompson,CA,2022-02-02 17:25:05,55.7435,-97.8558,-20.04,63,0,10.36
105,Ossora,RU,2022-02-02 17:25:05,59.2353,163.0719,19.56,82,100,12.77
106,Makakilo City,US,2022-02-02 17:25:06,21.3469,-158.0858,71.92,82,0,6.91
107,Alberton,CA,2022-02-02 17:25:06,46.8168,-64.0654,24.71,89,97,17.63
108,Xingcheng,CN,2022-02-02 17:25:06,40.6167,120.7167,4.89,92,13,3.94
109,Upernavik,GL,2022-02-02 17:25:06,72.7868,-56.1549,-5.53,65,100,5.93
110,Iqaluit,CA,2022-02-02 17:25:07,63.7506,-68.5145,6.53,84,40,17.0
111,Clyde River,CA,2022-02-02 17:25:07,70.4692,-68.5914,-19.97,69,100,4.61
112,Mount Isa,AU,2022-02-02 17:25:07,-20.7333,139.5,80.37,74,100,5.75
113,Huarmey,PE,2022-02-02 17:25:07,-10.0681,-78.1522,76.82,69,91,12.82
114,Gornyy,RU,2022-02-02 17:25:08,55.1153,83.9059,3.85,100,96,4.36
115,Asosa,ET,2022-02-02 17:25:08,10.0667,34.5333,72.81,27,100,3.85
116,Yaan,NG,2022-02-02 17:25:08,7.3833,8.5667,93.72,11,1,2.33
117,Santa Fe,AR,2022-02-02 17:20:10,-31.6333,-60.7,101.01,28,54,5.99
118,Rio Grande,BR,2022-02-02 17:25:08,-32.035,-52.0986,87.91,62,1,13.2
119,Olafsvik,IS,2022-02-02 17:25:09,64.8945,-23.7142,31.78,56,64,12.19
120,Saint-Joseph,RE,2022-02-02 17:25:09,-21.3667,55.6167,79.18,90,100,31.23
121,Kavaratti,IN,2022-02-02 17:25:09,10.5669,72.642,80.65,70,5,12.08
122,Sept-Iles,CA,2022-02-02 17:25:09,50.2001,-66.3821,24.06,92,100,5.99
123,Tessalit,ML,2022-02-02 17:25:07,20.1986,1.0114,74.41,8,0,13.96
124,Pocatello,US,2022-02-02 17:25:10,42.8713,-112.4455,14.85,84,75,4.61
125,Cusuna,HN,2022-02-02 17:25:10,15.85,-85.2333,84.54,47,4,7.78
126,Rio Verde De Mato Grosso,BR,2022-02-02 17:25:10,-18.9181,-54.8442,80.85,77,100,9.84
127,Pevek,RU,2022-02-02 17:20:26,69.7008,170.3133,-9.06,79,10,3.4
128,Smithers,CA,2022-02-02 17:25:10,54.7804,-127.1743,8.92,85,100,12.66
129,Port Macquarie,AU,2022-02-02 17:25:11,-31.4333,152.9167,71.49,94,75,8.05
130,Vayalar,IN,2022-02-02 17:25:11,9.7,76.3333,78.78,81,34,6.8
131,Awjilah,LY,2022-02-02 17:26:11,29.1081,21.2869,56.7,43,39,12.82
132,Shingu,JP,2022-02-02 17:26:12,33.7333,135.9833,37.27,81,31,6.4
133,Abu Zabad,SD,2022-02-02 17:26:12,12.35,29.25,79.36,17,8,9.15
134,Saldanha,ZA,2022-02-02 17:26:12,-33.0117,17.9442,69.85,85,100,9.62
135,Darab,IR,2022-02-02 17:26:13,28.7519,54.5444,53.4,36,0,6.51
136,Aklavik,CA,2022-02-02 17:26:13,68.2191,-135.0107,-25.6,75,20,4.61
137,Emerald,AU,2022-02-02 17:22:39,-23.5333,148.1667,77.14,100,75,9.22
138,Salalah,OM,2022-02-02 17:25:19,17.0151,54.0924,77.09,44,0,2.3
139,Lompoc,US,2022-02-02 17:22:30,34.6391,-120.4579,61.12,36,0,6.91
140,Sitka,US,2022-02-02 17:26:13,57.0531,-135.33,33.69,86,100,4.61
141,Jumla,NP,2022-02-02 17:26:00,29.2747,82.1838,38.12,93,93,2.06
142,Tiksi,RU,2022-02-02 17:23:04,71.6872,128.8694,-7.1,100,100,6.35
143,Sao Gabriel Da Cachoeira,BR,2022-02-02 17:26:14,-0.1303,-67.0892,85.8,74,40,3.44
144,Fougeres,FR,2022-02-02 17:26:14,48.35,-1.2,48.06,88,46,3.83
145,Hilo,US,2022-02-02 17:24:09,19.7297,-155.09,67.24,79,75,6.91
146,San Cristobal,VE,2022-02-02 17:22:21,7.7669,-72.225,84.38,29,3,9.86
147,Lebu,CL,2022-02-02 17:26:14,-37.6167,-73.65,65.79,74,35,8.72
148,Salamiyah,SY,2022-02-02 17:26:14,35.0113,37.0532,53.76,49,100,14.67
149,Tarakan,ID,2022-02-02 17:26:15,3.3,117.6333,80.02,76,100,10.16
150,Nikolskoye,RU,2022-02-02 17:26:15,59.7035,30.7861,22.89,100,96,1.34
151,Half Moon Bay,US,2022-02-02 17:26:15,37.4636,-122.4286,57.18,36,0,5.99
152,Neryungri,RU,2022-02-02 17:26:15,56.6709,124.6491,-11.24,94,100,10.76
153,Warri,NG,2022-02-02 17:26:16,5.5167,5.75,87.64,44,0,11.97
154,Suez,EG,2022-02-02 17:26:16,29.9737,32.5263,60.55,52,99,3.98
155,Ilhabela,BR,2022-02-02 17:26:16,-23.7781,-45.3581,79.74,80,96,4.07
156,Beni,CD,2022-02-02 17:26:17,0.5,29.4667,72.12,57,98,3.24
157,Amga,RU,2022-02-02 17:26:17,60.8953,131.9608,-28.68,100,90,1.01
158,Inhambane,MZ,2022-02-02 17:26:17,-23.865,35.3833,82.38,78,20,9.22
159,Fairbanks,US,2022-02-02 17:26:16,64.8378,-147.7164,-34.64,98,0,0.0
160,Hashtrud,IR,2022-02-02 17:26:17,37.4779,47.0508,7.32,82,1,2.37
161,Los Llanos De Aridane,ES,2022-02-02 17:26:18,28.6585,-17.9182,67.75,93,0,1.99
162,Alice Springs,AU,2022-02-02 17:26:18,-23.7,133.8833,65.75,94,100,9.22
163,Tuktoyaktuk,CA,2022-02-02 17:21:36,69.4541,-133.0374,-25.6,68,20,10.36
164,Severo-Kurilsk,RU,2022-02-02 17:26:18,50.6789,156.125,26.85,88,96,7.2
165,Chudovo,RU,2022-02-02 17:26:18,59.1167,31.6833,12.6,99,98,1.5
166,Ingham,US,2022-02-02 17:26:19,42.6,-84.3833,32.67,93,100,6.91
167,Georgetown,MY,2022-02-02 17:26:19,5.4112,100.3354,82.33,86,20,2.3
168,Mahebourg,MU,2022-02-02 17:26:19,-20.4081,57.7,81.25,94,75,34.52
169,Mana,GF,2022-02-02 17:26:19,5.6592,-53.7767,82.15,69,53,10.78
170,Nome,US,2022-02-02 17:26:20,64.5011,-165.4064,12.27,58,0,27.63
171,Santa Rosa,PH,2022-02-02 17:26:20,14.3122,121.1114,79.09,78,97,9.98
172,Dafeng,CN,2022-02-02 17:26:20,23.4517,108.5881,45.09,87,100,7.02
173,Antsohihy,MG,2022-02-02 17:26:20,-14.8796,47.9875,77.47,84,100,5.59
174,Waingapu,ID,2022-02-02 17:26:21,-9.6567,120.2641,78.53,84,39,8.66
175,Caravelas,BR,2022-02-02 17:26:21,-17.7125,-39.2481,83.66,64,84,8.25
176,Nikita,UA,2022-02-02 17:26:21,44.5333,34.2333,36.73,99,100,5.66
177,Port Hueneme,US,2022-02-02 17:27:21,34.1478,-119.1951,61.54,22,0,20.71
178,Fortuna,US,2022-02-02 17:27:22,40.5982,-124.1573,47.93,69,0,9.22
179,Sobolevo,RU,2022-02-02 17:27:22,54.4299,31.8996,24.93,95,100,9.44
180,Midyat,TR,2022-02-02 17:27:22,37.4247,41.3393,38.48,76,57,2.75
181,Sur,OM,2022-02-02 17:27:23,22.5667,59.5289,73.8,57,0,17.85
182,Nisia Floresta,BR,2022-02-02 17:27:23,-6.0911,-35.2086,88.61,51,58,12.8
183,Sechura,PE,2022-02-02 17:27:23,-5.5569,-80.8222,82.71,50,2,11.68
184,Brae,GB,2022-02-02 17:27:23,60.3964,-1.353,44.51,90,100,8.1
185,Platanos,GR,2022-02-02 17:27:23,37.6667,21.6167,51.08,90,95,0.51
186,Ahipara,NZ,2022-02-02 17:27:24,-35.1667,173.1667,66.51,92,100,9.98
187,Ust-Maya,RU,2022-02-02 17:27:24,60.4167,134.5333,-33.38,100,100,1.41
188,Pannonhalma,HU,2022-02-02 17:27:24,47.5495,17.7554,43.39,70,0,21.85
189,Keti Bandar,PK,2022-02-02 17:27:24,24.1447,67.4497,76.05,51,1,21.5
190,Talnakh,RU,2022-02-02 17:27:25,69.4865,88.3972,-0.8,98,96,6.49
191,Maragogi,BR,2022-02-02 17:27:25,-9.0122,-35.2225,84.97,61,27,9.73
192,Norman Wells,CA,2022-02-02 17:25:27,65.282,-126.8329,-34.56,61,75,2.3
193,Port Blair,IN,2022-02-02 17:27:25,11.6667,92.75,78.84,78,20,3.44
194,Segou,ML,2022-02-02 17:27:25,13.4317,-6.2157,88.84,7,3,13.42
195,Tabuk,PH,2022-02-02 17:27:26,17.4189,121.4443,66.96,86,14,3.85
196,Waitati,NZ,2022-02-02 17:27:26,-45.75,170.5667,62.8,99,100,5.26
197,Tucuman,AR,2022-02-02 17:27:26,-26.8241,-65.2226,89.6,51,0,5.75
198,Teguldet,RU,2022-02-02 17:27:26,57.3064,88.1667,10.92,98,97,3.56
199,Bastia,FR,2022-02-02 17:27:27,42.6667,9.3333,55.29,69,0,1.9
200,Khatanga,RU,2022-02-02 17:25:38,71.9667,102.5,-38.51,98,50,1.52
201,Semnan,IR,2022-02-02 17:27:27,35.5729,53.3971,37.24,87,0,0.0
202,Caucaia,BR,2022-02-02 17:27:27,-3.7361,-38.6531,87.75,72,40,14.97
203,Zhob,PK,2022-02-02 17:27:27,31.3411,69.4481,47.91,52,59,14.88
204,Aborlan,PH,2022-02-02 17:27:28,9.4352,118.5492,77.25,90,56,7.99
205,Rawson,AR,2022-02-02 17:27:28,-43.3002,-65.1023,79.05,29,99,13.35
206,Katsuura,JP,2022-02-02 17:27:28,35.1333,140.3,37.51,56,68,3.53
207,Ventspils,LV,2022-02-02 17:27:28,57.3894,21.5606,26.53,86,0,2.3
208,Acapulco,MX,2022-02-02 17:27:29,16.8634,-99.8901,82.22,61,75,5.75
209,Barcelos,PT,2022-02-02 17:25:13,41.5388,-8.6151,61.84,75,3,3.44
210,Banda Aceh,ID,2022-02-02 17:27:29,5.5577,95.3222,78.19,84,49,7.56
211,Port Hedland,AU,2022-02-02 17:27:29,-20.3167,118.5667,78.85,94,100,5.75
212,Bethel,US,2022-02-02 17:27:29,41.3712,-73.414,44.55,84,100,5.75
213,Guerrero Negro,MX,2022-02-02 17:27:30,27.9769,-114.0611,59.97,64,89,11.52
214,Tiruchchendur,IN,2022-02-02 17:27:30,8.4833,78.1167,78.22,67,5,11.99
215,Shimoda,JP,2022-02-02 17:27:30,34.6667,138.95,39.11,63,1,21.05
216,Puerto Madryn,AR,2022-02-02 17:25:45,-42.7692,-65.0385,79.75,26,55,18.77
217,Linxia,CN,2022-02-02 17:27:30,35.6003,103.2064,13.75,83,16,3.49
218,Walvis Bay,NA,2022-02-02 17:27:31,-22.9575,14.5053,74.35,56,0,13.8
219,Bafoulabe,ML,2022-02-02 17:27:31,13.8065,-10.8321,96.35,5,3,11.65
220,Kuvshinovo,RU,2022-02-02 17:27:31,57.0295,34.1725,21.76,97,100,2.77
221,Kaeo,NZ,2022-02-02 17:27:31,-35.1,173.7833,70.32,91,100,8.16
222,Hukuntsi,BW,2022-02-02 17:27:32,-24.0,21.75,80.76,52,78,10.22
223,Huaicheng,CN,2022-02-02 17:28:32,23.9051,112.1931,44.33,93,100,2.51
224,San Patricio,US,2022-02-02 17:28:32,28.017,-97.5169,77.09,71,82,12.75
225,Faanui,PF,2022-02-02 17:28:32,-16.4833,-151.75,80.56,76,21,19.62
226,Hambantota,LK,2022-02-02 17:28:33,6.1241,81.1185,74.88,79,2,11.99
227,Hingoli,IN,2022-02-02 17:28:33,19.7167,77.15,73.69,24,19,0.67
228,Megion,RU,2022-02-02 17:28:33,61.0296,76.1136,17.62,93,93,9.73
229,Kuusalu,EE,2022-02-02 17:28:33,59.4439,25.4414,24.58,96,86,2.48
230,Catuday,PH,2022-02-02 17:28:34,16.2923,119.8062,75.83,73,7,11.12
231,Waddan,LY,2022-02-02 17:28:34,29.1614,16.139,51.71,56,81,20.85
232,Kankon,IN,2022-02-02 17:28:34,15.0167,74.0167,76.8,80,5,7.34
233,Mar Del Plata,AR,2022-02-02 17:28:34,-38.0023,-57.5575,87.82,50,0,11.99
234,Rach Gia,VN,2022-02-02 17:28:35,10.0167,105.0833,76.95,81,3,10.25
235,Narsaq,GL,2022-02-02 17:27:33,60.9167,-46.05,7.02,66,0,5.68
236,La Hulpe,BE,2022-02-02 17:28:35,50.7309,4.4858,49.24,93,75,4.0
237,Bar Harbor,US,2022-02-02 17:28:35,44.3876,-68.2039,41.27,82,100,7.0
238,Akyab,MM,2022-02-02 17:28:35,20.15,92.9,67.77,71,2,6.6
239,Cherskiy,RU,2022-02-02 17:28:36,68.75,161.3,-8.55,64,36,2.01
240,Belmonte,BR,2022-02-02 17:28:36,-15.8631,-38.8828,84.7,64,84,9.93
241,Haines Junction,CA,2022-02-02 17:28:36,60.7522,-137.5108,-7.65,84,100,3.44
242,Mancio Lima,BR,2022-02-02 17:28:37,-7.6142,-72.8958,84.27,74,100,9.22
243,Primorsko,BG,2022-02-02 17:28:37,42.2667,27.7667,34.27,100,100,5.23
244,Kodiak,US,2022-02-02 17:28:37,57.79,-152.4072,35.11,93,100,4.61
245,Thinadhoo,MV,2022-02-02 17:28:37,0.5333,72.9333,83.05,71,3,7.74
246,Kragero,NO,2022-02-02 17:28:37,58.8693,9.4149,27.59,70,31,10.92
247,Payo,ID,2022-02-02 17:28:38,-3.7508,103.6372,73.51,97,98,2.13
248,Trincomalee,LK,2022-02-02 17:28:38,8.5711,81.2335,78.03,68,5,10.33
249,Marfino,RU,2022-02-02 17:28:38,55.7028,37.3822,26.94,85,20,6.71
250,Ponta Do Sol,PT,2022-02-02 17:28:38,32.6667,-17.1,68.0,81,100,5.97
251,Bud,US,2022-02-02 17:28:39,39.447,-86.1758,44.69,97,100,9.15
252,Labuhan,ID,2022-02-02 17:28:39,-6.8844,112.2051,78.53,85,45,8.66
253,Brownwood,US,2022-02-02 17:28:39,31.7093,-98.9912,42.57,77,100,14.97
254,Manggar,ID,2022-02-02 17:28:39,-2.8833,108.2667,78.84,81,86,5.44
255,Dingle,PH,2022-02-02 17:28:40,10.9995,122.6711,73.38,95,98,7.65
256,Raudeberg,NO,2022-02-02 17:28:40,61.9875,5.1352,34.47,87,100,1.99
257,Mumford,GH,2022-02-02 17:28:40,5.2618,-0.759,82.71,71,30,12.53
258,Port Elizabeth,ZA,2022-02-02 17:27:27,-33.918,25.5701,75.09,100,40,18.41
259,Kahului,US,2022-02-02 17:27:36,20.8947,-156.47,67.68,78,0,5.75
260,Rabaul,PG,2022-02-02 17:28:40,-4.1967,152.1721,79.39,78,99,11.07
261,Perth,AU,2022-02-02 17:27:55,-31.9333,115.8333,82.09,29,0,25.32
262,Oranjemund,NA,2022-02-02 17:28:41,-28.55,16.4333,68.43,84,69,9.26
263,Santa Cruz,BO,2022-02-02 17:28:41,-17.8,-63.1667,91.45,55,40,11.5
264,Saskylakh,RU,2022-02-02 17:28:41,71.9167,114.0833,-28.88,100,33,2.89
265,Eureka,US,2022-02-02 17:28:41,40.8021,-124.1637,48.2,72,8,1.99
266,Kutno,PL,2022-02-02 17:28:42,52.2306,19.3641,36.41,89,94,13.71
267,Kinsale,IE,2022-02-02 17:28:42,51.7075,-8.5306,49.37,81,75,8.05
268,Hoi An,VN,2022-02-02 17:28:42,15.8794,108.335,71.56,88,35,6.98
269,Fenoarivo Atsinanana,MG,2022-02-02 17:29:42,-17.3667,49.4167,78.48,79,97,12.15
270,Agua Verde,MX,2022-02-02 17:29:43,22.9,-106.05,74.12,46,0,4.68
271,Kieta,PG,2022-02-02 17:29:43,-6.2167,155.6333,79.48,85,100,15.03
272,Fraga,ES,2022-02-02 17:29:43,41.5229,0.3489,60.53,52,0,5.37
